Index,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.x,Head.rot.y,Head.rot.z,Head.rot.w,LeftHand.pos.x,LeftHand.pos.y,LeftHand.pos.z,LeftHand.rot.x,LeftHand.rot.y,LeftHand.rot.z,LeftHand.rot.w,RightHand.pos.x,RightHand.pos.y,RightHand.pos.z,RightHand.rot.x,RightHand.rot.y,RightHand.rot.z,RightHand.rot.w,
0.12221,0.03094,1.47166,0.43667,-0.19822,-0.28388,0.09398,-0.93343,-0.18442,1.23289,0.54658,0.54249,-0.15126,0.10612,-0.81949,0.11045,1.00166,0.54810,0.09568,0.15716,-0.09321,-0.97850
0.12757,0.03117,1.47162,0.43674,-0.19832,-0.28354,0.09395,-0.93351,-0.18398,1.22668,0.54986,0.53056,-0.15192,0.10516,-0.82727,0.10967,1.00780,0.54909,0.10483,0.15737,-0.09733,-0.97712
0.13412,0.03144,1.47156,0.43683,-0.19841,-0.28316,0.09393,-0.93361,-0.18301,1.21975,0.55303,0.51859,-0.15319,0.10311,-0.83484,0.10989,1.01528,0.55064,0.11582,0.15772,-0.10113,-0.97544
0.13974,0.03174,1.47149,0.43691,-0.19851,-0.28277,0.09395,-0.93371,-0.18268,1.21138,0.55690,0.50262,-0.15379,0.10109,-0.84469,0.10895,1.02268,0.55163,0.12731,0.15818,-0.10524,-0.97350
0.14521,0.03197,1.47143,0.43702,-0.19864,-0.28244,0.09401,-0.93377,-0.18232,1.20375,0.56028,0.48852,-0.15427,0.09964,-0.85301,0.10812,1.03011,0.55249,0.13982,0.15796,-0.10964,-0.97133
0.15080,0.03224,1.47137,0.43708,-0.19874,-0.28216,0.09411,-0.93383,-0.18216,1.19658,0.56321,0.47613,-0.15467,0.09829,-0.86006,0.10711,1.03623,0.55292,0.15095,0.15788,-0.11249,-0.96935
0.15722,0.03256,1.47131,0.43715,-0.19887,-0.28184,0.09424,-0.93388,-0.18186,1.18757,0.56655,0.46011,-0.15508,0.09632,-0.86889,0.10617,1.04421,0.55360,0.16444,0.15777,-0.11660,-0.96668
0.16288,0.03288,1.47124,0.43722,-0.19901,-0.28155,0.09440,-0.93393,-0.18156,1.17891,0.56969,0.44494,-0.15561,0.09467,-0.87684,0.10527,1.05290,0.55411,0.17985,0.15708,-0.12035,-0.96358
0.16914,0.03322,1.47117,0.43728,-0.19913,-0.28128,0.09460,-0.93396,-0.18095,1.16884,0.57298,0.42774,-0.15637,0.09284,-0.88542,0.10489,1.06190,0.55437,0.19592,0.15647,-0.12315,-0.96019
0.17458,0.03351,1.47112,0.43734,-0.19922,-0.28107,0.09480,-0.93398,-0.18068,1.16108,0.57550,0.41448,-0.15684,0.09136,-0.89178,0.10412,1.06868,0.55464,0.20753,0.15621,-0.12618,-0.95740
